date,t1,tVal,bin,windowSize
2018-01-01 01:00:00,2018-01-01 08:00:00,3.067898830233722,1.0,7
2018-01-01 02:00:00,2018-01-01 07:00:00,4.1106585445632895,1.0,5
2018-01-01 03:00:00,2018-01-01 19:00:00,-3.64996132638489,-1.0,16
2018-01-01 04:00:00,2018-01-01 19:00:00,-4.418316340868872,-1.0,15
2018-01-01 05:00:00,2018-01-01 19:00:00,-4.935372335422125,-1.0,14
2018-01-01 06:00:00,2018-01-01 19:00:00,-5.01963488796259,-1.0,13
2018-01-01 07:00:00,2018-01-01 14:00:00,-11.061913534073602,-1.0,7
2018-01-01 08:00:00,2018-01-01 14:00:00,-8.216587045155952,-1.0,6
2018-01-01 09:00:00,2018-01-01 14:00:00,-6.806089185893628,-1.0,5
2018-01-01 10:00:00,2018-01-01 15:00:00,-2.8809279914566823,-1.0,5
2018-01-01 11:00:00,2018-01-02 02:00:00,3.5359201473318747,1.0,15
2018-01-01 12:00:00,2018-01-02 02:00:00,4.71245121359573,1.0,14
2018-01-01 13:00:00,2018-01-02 02:00:00,5.878412284996984,1.0,13
2018-01-01 14:00:00,2018-01-02 02:00:00,5.406108782110848,1.0,12
2018-01-01 15:00:00,2018-01-02 02:00:00,4.394158043852518,1.0,11
2018-01-01 16:00:00,2018-01-02 02:00:00,4.230570395124017,1.0,10
2018-01-01 17:00:00,2018-01-02 02:00:00,4.396324475314817,1.0,9
2018-01-01 18:00:00,2018-01-02 02:00:00,3.492580431469097,1.0,8
2018-01-01 19:00:00,2018-01-02 02:00:00,2.4189733965652915,1.0,7
2018-01-01 20:00:00,2018-01-02 07:00:00,-2.561592217910171,-1.0,11
2018-01-01 21:00:00,2018-01-02 07:00:00,-2.72584274184392,-1.0,10
2018-01-01 22:00:00,2018-01-02 06:00:00,-2.3817783662140406,-1.0,8
2018-01-01 23:00:00,2018-01-02 18:00:00,2.932965753913418,1.0,19
2018-01-02 00:00:00,2018-01-02 19:00:00,3.648732424612847,1.0,19
2018-01-02 01:00:00,2018-01-02 06:00:00,-7.570200556417792,-1.0,5
2018-01-02 02:00:00,2018-01-02 21:00:00,6.327773482918502,1.0,19
2018-01-02 03:00:00,2018-01-02 22:00:00,8.538525226386238,1.0,19
2018-01-02 04:00:00,2018-01-02 15:00:00,10.64511520733473,1.0,11
2018-01-02 05:00:00,2018-01-02 15:00:00,12.345668560583457,1.0,10
2018-01-02 06:00:00,2018-01-03 01:00:00,10.439035760054322,1.0,19
2018-01-02 07:00:00,2018-01-02 15:00:00,10.852664801642954,1.0,8
